Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2011-06-15,2012-02-16,8.2,196.72,272.97,38761.76,62.59,Completed
2015-07-03,2016-06-07,11.33,433.15,463.05,6902.92,7.43,Completed
2017-04-12,2021-10-18,55.0,464.55,509.6,9697.56,2.07,Completed
2022-06-21,2023-05-15,10.93,397.6,530.85,33513.57,37.94,Completed
2024-11-27,Still Holding,1.43,783.95,780.1,-491.11,,Holding
