Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2006-08-23,2007-03-21,7.0,112.39,126.57,12612.33,22.93,Completed
2008-02-21,2009-04-24,14.27,140.02,155.35,10944.48,9.26,Completed
2010-03-25,2010-06-10,2.57,159.55,172.68,8222.88,45.44,Completed
2011-03-03,2011-07-18,4.57,173.25,241.15,39191.92,141.34,Completed
2012-11-07,2013-04-02,4.87,234.45,264.0,12603.97,34.55,Completed
2016-03-15,2016-08-24,5.4,1379.38,1716.47,24438.6,63.66,Completed
2019-07-10,2020-01-27,6.7,2769.55,3174.2,14610.67,28.1,Completed
2021-02-17,2021-08-20,6.13,3364.0,3895.95,15813.02,33.81,Completed
2022-02-17,2022-08-29,6.43,3464.1,3707.65,7030.68,13.71,Completed
