Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
ADANIENT,2010-01-13 to 2025-01-09,124472.28,-10126.31,5
ADANIPORTS,2010-01-13 to 2025-01-09,33000.52,-3314.31,6
APOLLOHOSP,2010-01-13 to 2025-01-09,43788.23,,3
ASIANPAINT,2010-01-13 to 2025-01-09,81623.18,2014.64,5
AXISBANK,2010-01-13 to 2025-01-09,146233.65,0.0,8
BAJAJ-AUTO,2010-01-13 to 2025-01-09,119052.5,,7
BAJFINANCE,2010-01-13 to 2025-01-09,178153.25,,4
BAJAJFINSV,2010-01-13 to 2025-01-09,191330.23,,5
BEL,2010-01-13 to 2025-01-09,16876.66,,3
BPCL,2010-01-13 to 2025-01-09,149716.83,,7
BHARTIARTL,2010-01-13 to 2025-01-09,55666.95,,5
BRITANNIA,2010-01-13 to 2025-01-09,113688.86,,6
CIPLA,2010-01-13 to 2025-01-09,51755.73,,4
COALINDIA,2010-01-13 to 2025-01-09,33357.18,-1616.66,4
DRREDDY,2010-01-13 to 2025-01-09,22176.51,,4
EICHERMOT,2010-01-13 to 2025-01-09,51773.96,,3
GRASIM,2010-01-13 to 2025-01-09,45092.67,,4
HCLTECH,2010-01-13 to 2025-01-09,39341.39,,3
HDFCBANK,2010-01-13 to 2025-01-09,102572.1,,5
HDFCLIFE,2010-01-13 to 2025-01-09,88976.5,,4
HEROMOTOCO,2010-01-13 to 2025-01-09,78766.11,0.0,7
HINDALCO,2010-01-13 to 2025-01-09,10467.17,,3
HINDUNILVR,2010-01-13 to 2025-01-09,82371.46,,5
ICICIBANK,2010-01-13 to 2025-01-09,142659.57,,6
ITC,2010-01-13 to 2025-01-09,61122.12,,5
INDUSINDBK,2010-01-13 to 2025-01-09,30332.01,-31512.44,4
INFY,2010-01-13 to 2025-01-09,133422.6,,6
JSWSTEEL,2010-01-13 to 2025-01-09,137825.72,,6
KOTAKBANK,2010-01-13 to 2025-01-09,97496.09,,5
LT,2010-01-13 to 2025-01-09,79186.41,,6
M&M,2010-01-13 to 2025-01-09,83880.16,,6
MARUTI,2010-01-13 to 2025-01-09,123044.98,6752.63,7
NTPC,2010-01-13 to 2025-01-09,11468.3,,3
NESTLEIND,2010-01-13 to 2025-01-09,70940.92,-2447.71,5
ONGC,2010-01-13 to 2025-01-09,42671.29,13408.56,4
POWERGRID,2010-01-13 to 2025-01-09,43751.71,,7
RELIANCE,2010-01-13 to 2025-01-09,31199.94,376.76,4
SBILIFE,2010-01-13 to 2025-01-09,46494.21,,3
SHRIRAMFIN,2010-01-13 to 2025-01-09,170729.02,,7
SBIN,2010-01-13 to 2025-01-09,31564.6,,5
SUNPHARMA,2010-01-13 to 2025-01-09,4503.11,,1
TCS,2010-01-13 to 2025-01-09,86958.05,,5
TATACONSUM,2010-01-13 to 2025-01-09,95863.49,617.34,7
TATAMOTORS,2010-01-13 to 2025-01-09,90278.96,1403.15,5
TATASTEEL,2010-01-13 to 2025-01-09,14392.23,-4692.1,5
TECHM,2010-01-13 to 2025-01-09,126162.04,,5
TITAN,2010-01-13 to 2025-01-09,161240.69,4466.13,7
TRENT,2010-01-13 to 2025-01-09,122909.46,,4
ULTRACEMCO,2010-01-13 to 2025-01-09,117063.88,,6
WIPRO,2010-01-13 to 2025-01-09,71359.63,,6
