Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2007-06-27,2008-01-04,6.37,179.81,205.94,14529.02,29.59,Completed
2008-03-14,2009-06-10,15.1,162.3,191.77,18160.81,14.39,Completed
2012-03-22,2012-08-29,5.33,343.0,385.9,12507.29,30.84,Completed
2015-03-09,2015-08-07,5.03,603.4,695.15,15205.5,40.8,Completed
2016-02-09,2016-06-08,4.0,591.6,693.15,17165.32,61.91,Completed
2016-12-27,2017-06-09,5.47,583.62,713.35,22227.45,56.32,Completed
2019-01-02,2020-12-02,23.33,741.7,753.6,1604.42,0.83,Completed
2021-09-15,2022-01-28,4.5,755.1,869.65,15170.18,46.5,Completed
