Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2008-05-14,2009-10-08,17.07,585.9,586.3,68.26,0.05,Completed
2011-11-23,2014-03-10,27.93,682.5,694.15,1706.96,0.74,Completed
2015-12-02,2016-07-26,7.9,1212.15,1328.15,9569.77,15.11,Completed
2016-12-29,2017-05-11,4.43,1085.55,1406.65,29579.47,103.63,Completed
2017-11-23,2019-04-25,17.27,1190.45,1193.75,277.21,0.2,Completed
2020-04-29,2020-11-10,6.5,1127.15,1357.65,20449.81,41.66,Completed
