Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2006-06-27,2007-11-15,16.87,27.6,35.53,28728.86,19.98,Completed
2008-06-20,2009-01-07,6.7,22.05,30.65,38994.89,81.83,Completed
2011-03-03,2011-08-17,5.57,47.57,57.12,20094.61,49.21,Completed
2011-12-26,2012-05-21,4.9,41.74,60.48,44899.19,151.15,Completed
2013-08-08,2014-02-14,6.33,46.0,59.3,28913.04,62.89,Completed
2016-03-02,2016-06-07,3.23,131.1,162.71,24110.08,125.42,Completed
2018-03-27,2019-10-07,18.63,210.38,245.32,16613.19,10.56,Completed
2020-05-04,2021-01-08,8.3,173.95,200.07,15018.68,22.77,Completed
2021-11-29,2023-05-08,17.5,183.73,183.85,68.04,0.05,Completed
