Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2006-07-26,2007-08-30,13.33,24.59,37.1,50874.33,45.54,Completed
2008-06-03,2010-07-07,25.47,28.78,28.9,416.95,0.2,Completed
2011-05-09,2012-05-07,12.13,31.35,36.0,14832.53,14.88,Completed
2013-07-31,2014-03-27,7.97,45.25,53.88,19071.83,30.55,Completed
2017-03-10,2017-06-29,3.7,183.07,219.24,19757.47,80.92,Completed
2018-10-17,2019-06-07,7.77,226.18,295.42,30612.8,51.95,Completed
2020-04-20,2020-10-30,6.43,155.75,273.25,75441.41,189.53,Completed
