Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2008-05-21,2009-04-17,11.03,48.8,49.83,2100.41,2.32,Completed
2011-02-14,2011-06-29,4.5,94.25,114.6,21591.51,69.65,Completed
2011-12-02,2012-06-27,6.93,95.4,113.05,18501.05,34.7,Completed
2016-01-15,2016-07-01,5.6,250.3,310.8,24170.99,60.06,Completed
2017-01-20,2017-07-05,5.53,275.9,297.85,7955.79,18.33,Completed
2019-05-16,2019-10-14,5.03,361.05,455.0,26021.33,74.9,Completed
2022-02-18,2024-06-28,28.7,547.8,600.7,9656.81,3.99,Completed
2025-01-06,Still Holding,0.13,504.85,517.9,2584.93,,Holding
