Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2006-10-05,2007-02-15,4.43,45.62,56.08,22904.11,76.12,Completed
2007-11-22,2008-09-02,9.5,45.34,50.03,10339.12,13.43,Completed
2009-02-17,2009-06-25,4.27,32.53,44.54,36933.12,145.05,Completed
2011-12-15,2012-05-14,5.03,134.79,164.59,22108.87,62.06,Completed
2016-03-16,2016-08-22,5.3,627.12,771.1,22957.94,60.71,Completed
2017-01-31,2018-01-18,11.73,649.97,715.45,10073.47,10.46,Completed
2019-07-05,2019-12-06,5.13,762.58,925.72,21394.61,58.33,Completed
2021-03-18,2021-07-20,4.13,1183.38,1480.75,25129.4,93.46,Completed
2022-03-22,2022-10-11,6.77,1381.1,1588.1,14988.05,28.55,Completed
