Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2006-09-19,2007-08-01,10.53,41.05,44.12,7465.39,8.67,Completed
2007-11-05,2008-07-31,8.97,37.35,38.38,2746.06,3.74,Completed
2011-11-22,2012-07-03,7.47,143.3,151.03,5394.27,8.94,Completed
2013-03-20,2014-02-10,10.9,146.82,185.09,26065.92,29.51,Completed
2016-02-26,2016-09-08,6.5,320.35,392.2,22428.6,46.05,Completed
2017-12-18,2020-10-08,34.17,417.15,436.1,4542.73,1.59,Completed
2021-12-03,2023-02-06,14.33,460.45,470.15,2106.63,1.79,Completed
2024-12-30,Still Holding,0.37,956.95,1004.4,4958.46,,Holding
