Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2008-03-18,2009-05-21,14.3,1010.15,1046.55,3603.43,3.06,Completed
2010-08-25,2011-12-22,16.13,1824.25,2096.8,14940.39,11.07,Completed
2016-02-26,2016-05-17,2.7,10339.35,12881.65,24588.59,169.3,Completed
2018-02-09,2019-04-03,13.93,17041.45,18606.3,9182.62,7.97,Completed
2020-09-22,2020-11-25,2.13,18982.45,23698.8,24845.85,254.51,Completed
2021-12-10,2023-02-20,14.57,26406.45,26512.9,403.13,0.34,Completed
2024-09-18,Still Holding,3.8,25076.65,25738.3,2638.51,,Holding
