Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2011-03-10,2012-09-21,18.7,690.76,704.56,1997.81,1.3,Completed
2013-06-12,2014-02-28,8.7,620.71,739.77,19180.51,27.81,Completed
2015-10-30,2016-07-15,8.63,940.5,1057.23,12411.83,17.93,Completed
2018-10-08,2018-12-19,2.4,1215.35,1434.75,18052.42,131.94,Completed
2019-12-26,2020-12-18,11.93,1279.3,1281.55,175.88,0.18,Completed
2022-06-07,2022-11-01,4.9,1589.45,2024.45,27367.96,82.33,Completed
