Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2015-11-10,2017-01-23,14.67,425.65,428.65,704.8,0.58,Completed
2022-05-13,2023-01-27,8.63,1052.15,1115.6,6030.5,8.6,Completed
