Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
ADANIENT,2020-01-11 to 2025-01-09,56527.98,-10126.31,2
ADANIPORTS,2020-01-11 to 2025-01-09,-3314.31,-3314.31,1
APOLLOHOSP,2020-01-11 to 2025-01-09,30856.19,,1
ASIANPAINT,2020-01-11 to 2025-01-09,44136.73,2014.64,3
AXISBANK,2020-01-11 to 2025-01-09,37078.38,0,2
BAJAJ-AUTO,2020-01-11 to 2025-01-09,28566.5,,2
BAJFINANCE,2020-01-11 to 2025-01-09,44973,,2
BAJAJFINSV,2020-01-11 to 2025-01-09,82929.78,,3
BEL,2020-01-11 to 2025-01-09,0,,0
BPCL,2020-01-11 to 2025-01-09,68.04,,1
BHARTIARTL,2020-01-11 to 2025-01-09,18560.3,,1
BRITANNIA,2020-01-11 to 2025-01-09,22843.7,,2
CIPLA,2020-01-11 to 2025-01-09,0,,0
COALINDIA,2020-01-11 to 2025-01-09,-1616.66,-1616.66,1
DRREDDY,2020-01-11 to 2025-01-09,537.18,,1
EICHERMOT,2020-01-11 to 2025-01-09,50886.9,,2
GRASIM,2020-01-11 to 2025-01-09,22392.54,,1
HCLTECH,2020-01-11 to 2025-01-09,6030.5,,1
HDFCBANK,2020-01-11 to 2025-01-09,17780.49,,2
HDFCLIFE,2020-01-11 to 2025-01-09,32336.16,,2
HEROMOTOCO,2020-01-11 to 2025-01-09,29356.37,0,3
HINDALCO,2020-01-11 to 2025-01-09,0,,0
HINDUNILVR,2020-01-11 to 2025-01-09,30405.5,,2
ICICIBANK,2020-01-11 to 2025-01-09,21291.66,,1
ITC,2020-01-11 to 2025-01-09,47771.28,,2
INDUSINDBK,2020-01-11 to 2025-01-09,-13646.64,-31512.44,2
INFY,2020-01-11 to 2025-01-09,33677.95,,2
JSWSTEEL,2020-01-11 to 2025-01-09,9687.16,,1
KOTAKBANK,2020-01-11 to 2025-01-09,40309.82,,3
LT,2020-01-11 to 2025-01-09,27367.96,,1
M&M,2020-01-11 to 2025-01-09,15170.18,,1
MARUTI,2020-01-11 to 2025-01-09,35789.96,6752.63,3
NTPC,2020-01-11 to 2025-01-09,0,,0
NESTLEIND,2020-01-11 to 2025-01-09,15739.83,-2447.71,2
ONGC,2020-01-11 to 2025-01-09,80091.5,13408.56,3
POWERGRID,2020-01-11 to 2025-01-09,3790.7,,1
RELIANCE,2020-01-11 to 2025-01-09,17983.19,376.76,2
SBILIFE,2020-01-11 to 2025-01-09,45509.02,,2
SHRIRAMFIN,2020-01-11 to 2025-01-09,13615.85,,1
SBIN,2020-01-11 to 2025-01-09,0,,0
SUNPHARMA,2020-01-11 to 2025-01-09,0,,0
TCS,2020-01-11 to 2025-01-09,3791.13,,1
TATACONSUM,2020-01-11 to 2025-01-09,38512.91,617.34,3
TATAMOTORS,2020-01-11 to 2025-01-09,34916.72,1403.15,2
TATASTEEL,2020-01-11 to 2025-01-09,13554.54,-4692.1,2
TECHM,2020-01-11 to 2025-01-09,2296.21,,1
TITAN,2020-01-11 to 2025-01-09,37847.53,4466.13,2
TRENT,2020-01-11 to 2025-01-09,0,,0
ULTRACEMCO,2020-01-11 to 2025-01-09,13173.35,,1
WIPRO,2020-01-11 to 2025-01-09,2578.64,,1
Total,,1092156,-24670,75
Per trade,,14562,-329,
