Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
ABB,2020-01-13 to 2025-01-11,32812.95,-1030.48,2
ADANIENSOL,2020-01-13 to 2025-01-11,-25708.03,-25708.03,1
ADANIENT,2020-01-13 to 2025-01-11,51495.19,-15159.1,2
ADANIGREEN,2020-01-13 to 2025-01-11,-39294.35,-39447.16,2
ADANIPORTS,2020-01-13 to 2025-01-11,-6678.98,-6678.98,1
ADANIPOWER,2020-01-13 to 2025-01-11,85418.69,-7116.04,2
ATGL,2020-01-13 to 2025-01-11,6357.25,-20424.01,2
AMBUJACEM,2020-01-13 to 2025-01-11,39864.53,-728.16,2
APOLLOHOSP,2020-01-13 to 2025-01-11,30856.19,,1
ASIANPAINT,2020-01-13 to 2025-01-11,43542.39,1420.3,3
DMART,2020-01-13 to 2025-01-11,9103.57,929.55,2
AXISBANK,2020-01-13 to 2025-01-11,33892.19,-3186.19,2
BAJAJ-AUTO,2020-01-13 to 2025-01-11,28566.5,,2
BAJFINANCE,2020-01-13 to 2025-01-11,44973,,2
BAJAJFINSV,2020-01-13 to 2025-01-11,82929.78,,3
BAJAJHLDNG,2020-01-13 to 2025-01-11,32169.34,,1
BANKBARODA,2020-01-13 to 2025-01-11,42089.33,-7550.96,2
BEL,2020-01-13 to 2025-01-11,0,,0
BHEL,2020-01-13 to 2025-01-11,6834.22,-15761.07,2
BPCL,2020-01-13 to 2025-01-11,68.04,,1
BHARTIARTL,2020-01-13 to 2025-01-11,18560.3,,1
BOSCHLTD,2020-01-13 to 2025-01-11,22917.7,,1
BRITANNIA,2020-01-13 to 2025-01-11,22843.7,,2
CANBK,2020-01-13 to 2025-01-11,32146.52,-1496.18,2
CHOLAFIN,2020-01-13 to 2025-01-11,0,,0
CIPLA,2020-01-13 to 2025-01-11,0,,0
COALINDIA,2020-01-13 to 2025-01-11,-4681.84,-4681.84,1
DLF,2020-01-13 to 2025-01-11,26028.04,-1441.39,2
DABUR,2020-01-13 to 2025-01-11,12241.74,2584.93,2
DIVISLAB,2020-01-13 to 2025-01-11,2824.79,,1
DRREDDY,2020-01-13 to 2025-01-11,537.18,,1
EICHERMOT,2020-01-13 to 2025-01-11,50886.9,,2
GAIL,2020-01-13 to 2025-01-11,62657.75,0,3
GODREJCP,2020-01-13 to 2025-01-11,20934.82,9973.78,2
GRASIM,2020-01-13 to 2025-01-11,22392.54,,1
HCLTECH,2020-01-13 to 2025-01-11,6030.5,,1
HDFCBANK,2020-01-13 to 2025-01-11,17780.49,,2
HDFCLIFE,2020-01-13 to 2025-01-11,32336.16,,2
HAVELLS,2020-01-13 to 2025-01-11,0,,0
HEROMOTOCO,2020-01-13 to 2025-01-11,28972.14,-384.23,3
HINDALCO,2020-01-13 to 2025-01-11,0,,0
HAL,2020-01-13 to 2025-01-11,-2659.49,-2659.49,1
HINDUNILVR,2020-01-13 to 2025-01-11,30405.5,,2
ICICIBANK,2020-01-13 to 2025-01-11,21291.66,,1
ICICIGI,2020-01-13 to 2025-01-11,40.06,,1
ICICIPRULI,2020-01-13 to 2025-01-11,11843.38,,1
ITC,2020-01-13 to 2025-01-11,47771.28,,2
IOC,2020-01-13 to 2025-01-11,5436.55,-7168.3,2
IRCTC,2020-01-13 to 2025-01-11,-3666.13,-12710.06,2
IRFC,2020-01-13 to 2025-01-11,31292.53,0,2
INDUSINDBK,2020-01-13 to 2025-01-11,-16679.91,-34545.71,2
NAUKRI,2020-01-13 to 2025-01-11,7873.32,,1
INFY,2020-01-13 to 2025-01-11,33677.95,,2
INDIGO,2020-01-13 to 2025-01-11,21362.2,,1
JSWENERGY,2020-01-13 to 2025-01-11,30977.77,,1
JSWSTEEL,2020-01-13 to 2025-01-11,9687.16,,1
JINDALSTEL,2020-01-13 to 2025-01-11,12946.97,,1
JIOFIN,2020-01-13 to 2025-01-11,-10709.75,-10709.75,1
KOTAKBANK,2020-01-13 to 2025-01-11,40309.82,,3
LTIM,2020-01-13 to 2025-01-11,54855.95,,2
LT,2020-01-13 to 2025-01-11,27367.96,,1
LICI,2020-01-13 to 2025-01-11,29936.62,-6965.14,2
LODHA,2020-01-13 to 2025-01-11,55454.44,,1
M&M,2020-01-13 to 2025-01-11,15170.18,,1
MARUTI,2020-01-13 to 2025-01-11,34066.13,5028.8,3
NHPC,2020-01-13 to 2025-01-11,-4261.97,-4261.97,1
NTPC,2020-01-13 to 2025-01-11,0,,0
