Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
NESTLEIND,2015-01-13 to 2025-01-10,43723.14,-859.12,4
HINDUNILVR,2015-01-13 to 2025-01-10,64591.24,,4
M&M,2015-01-13 to 2025-01-10,56167.37,,4
KOTAKBANK,2015-01-13 to 2025-01-10,97496.09,,5
ASIANPAINT,2015-01-13 to 2025-01-10,82315.85,2707.31,5
BHARTIARTL,2015-01-13 to 2025-01-10,47740.76,,4
ITC,2015-01-13 to 2025-01-10,32842.29,,3
HCLTECH,2015-01-13 to 2025-01-10,6735.3,,2
TITAN,2015-01-13 to 2025-01-10,99126.75,4556.08,4
INDUSINDBK,2015-01-13 to 2025-01-10,-29638.47,-31522.91,2
ICICIBANK,2015-01-13 to 2025-01-10,107261.77,,4
BAJAJFINSV,2015-01-13 to 2025-01-10,114836.37,,3
POWERGRID,2015-01-13 to 2025-01-10,21390.66,,4
SUNPHARMA,2015-01-13 to 2025-01-10,4503.11,,1
MARUTI,2015-01-13 to 2025-01-10,113364.96,6017.14,6
RELIANCE,2015-01-13 to 2025-01-10,17130.52,-475.91,2
INFY,2015-01-13 to 2025-01-10,99799.26,,4
BAJFINANCE,2015-01-13 to 2025-01-10,144785.45,,3
ULTRACEMCO,2015-01-13 to 2025-01-10,64158.07,,4
TECHM,2015-01-13 to 2025-01-10,75509.97,,3
AXISBANK,2015-01-13 to 2025-01-10,115133.84,-1227.96,6
SBIN,2015-01-13 to 2025-01-10,30109.41,,3
NTPC,2015-01-13 to 2025-01-10,10820.18,,2
HDFCBANK,2015-01-13 to 2025-01-10,49319.47,,3
TCS,2015-01-13 to 2025-01-10,62645.38,,4
ADANIPORTS,2015-01-13 to 2025-01-10,9092.18,-4988.26,4
TATAMOTORS,2015-01-13 to 2025-01-10,91778.44,-491.11,4
LT,2015-01-13 to 2025-01-10,61512.49,,4
ZOMATO,2015-01-13 to 2025-01-10,36170.21,,1
TATASTEEL,2015-01-13 to 2025-01-10,54415.81,-6639.37,4
