Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2011-12-20,2012-05-25,5.23,292.2,373.65,27874.74,77.12,Completed
2013-01-17,2013-04-02,2.5,342.0,375.85,9897.66,58.3,Completed
2013-06-25,2013-12-05,5.43,310.05,439.75,41831.97,118.71,Completed
2015-05-08,2016-08-08,15.27,731.3,872.25,19273.9,15.08,Completed
2017-04-19,2017-07-05,2.57,826.4,1024.55,23977.49,176.99,Completed
2018-07-02,2018-08-27,1.87,1194.7,1595.85,33577.47,559.95,Completed
2022-03-07,2023-07-13,16.43,4287.9,4625.5,7873.32,5.77,Completed
