Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2011-02-21,2012-10-05,19.73,231.9,241.9,4312.2,2.64,Completed
2013-07-11,2014-05-28,10.7,178.45,205.65,15242.36,17.51,Completed
2015-01-07,2016-06-30,18.0,134.6,149.95,11404.15,7.57,Completed
2018-06-22,2019-12-23,18.3,200.7,227.3,13253.62,8.63,Completed
2020-07-22,2020-11-26,4.23,142.7,184.45,29257.18,109.08,Completed
2022-05-13,2022-11-14,6.17,318.9,406.5,27469.43,61.42,Completed
2024-11-19,Still Holding,1.73,763.15,752.15,-1441.39,,Holding
