Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2015-12-04,2016-04-13,4.37,73.55,81.56,10898.67,33.41,Completed
2018-01-10,2019-06-27,17.77,112.42,116.83,3927.95,2.67,Completed
2020-02-19,2020-12-09,9.8,105.47,108.39,2773.34,3.45,Completed
2022-12-22,2023-03-21,2.97,161.25,167.36,3790.7,16.48,Completed
