Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2016-02-16,2016-08-23,6.3,102.65,139.6,35996.11,81.08,Completed
2018-07-24,2019-07-05,11.53,246.3,266.6,8241.98,8.71,Completed
2022-02-24,2022-08-29,6.2,677.7,806.15,18953.82,40.58,Completed
2023-02-09,2023-07-18,5.3,721.95,858.7,18941.75,48.91,Completed
2024-11-25,Still Holding,1.47,955.7,961.6,617.34,,Holding
