Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
DABUR,2015-01-14 to 2025-01-11,70389.85,2584.93,5
DIVISLAB,2015-01-14 to 2025-01-11,32202.48,,2
DRREDDY,2015-01-14 to 2025-01-11,12529.05,,3
EICHERMOT,2015-01-14 to 2025-01-11,51773.96,,3
GAIL,2015-01-14 to 2025-01-11,17161.55,0.0,3
GODREJCP,2015-01-14 to 2025-01-11,64340.53,9973.78,4
GRASIM,2015-01-14 to 2025-01-11,26580.8,,2
HCLTECH,2015-01-14 to 2025-01-11,6735.3,,2
HDFCBANK,2015-01-14 to 2025-01-11,49319.47,,3
HDFCLIFE,2015-01-14 to 2025-01-11,88976.5,,4
HAVELLS,2015-01-14 to 2025-01-11,25806.83,,2
HEROMOTOCO,2015-01-14 to 2025-01-11,30162.19,-384.23,4
HINDALCO,2015-01-14 to 2025-01-11,40601.9,,2
HAL,2015-01-14 to 2025-01-11,122729.65,-2659.49,3
HINDUNILVR,2015-01-14 to 2025-01-11,64365.04,,4
ICICIBANK,2015-01-14 to 2025-01-11,107261.77,,4
ICICIGI,2015-01-14 to 2025-01-11,40.06,,1
ICICIPRULI,2015-01-14 to 2025-01-11,36476.71,,3
ITC,2015-01-14 to 2025-01-11,32842.29,,3
IOC,2015-01-14 to 2025-01-11,-4891.22,-7168.3,2
IRCTC,2015-01-14 to 2025-01-11,-3666.13,-12710.06,2
IRFC,2015-01-14 to 2025-01-11,31292.53,0.0,2
INDUSINDBK,2015-01-14 to 2025-01-11,-32661.27,-34545.71,2
NAUKRI,2015-01-14 to 2025-01-11,81565.69,,4
INFY,2015-01-14 to 2025-01-11,99799.26,,4
INDIGO,2015-01-14 to 2025-01-11,80354.07,,4
JSWENERGY,2015-01-14 to 2025-01-11,32753.98,,3
JSWSTEEL,2015-01-14 to 2025-01-11,91681.6,,3
JINDALSTEL,2015-01-14 to 2025-01-11,80318.95,,3
JIOFIN,2015-01-14 to 2025-01-11,-10709.75,-10709.75,1
KOTAKBANK,2015-01-14 to 2025-01-11,97496.09,,5
LTIM,2015-01-14 to 2025-01-11,83447.66,,3
LT,2015-01-14 to 2025-01-11,61440.51,,4
LICI,2015-01-14 to 2025-01-11,29936.62,-6965.14,2
LODHA,2015-01-14 to 2025-01-11,55454.44,,1
M&M,2015-01-14 to 2025-01-11,56167.37,,4
MARUTI,2015-01-14 to 2025-01-11,112376.62,5028.8,6
NHPC,2015-01-14 to 2025-01-11,21006.74,-4261.97,3
NTPC,2015-01-14 to 2025-01-11,10820.18,,2
NESTLEIND,2015-01-14 to 2025-01-11,43364.99,-1217.27,4
ONGC,2015-01-14 to 2025-01-11,64404.81,9935.21,6
PIDILITIND,2015-01-14 to 2025-01-11,65552.3,,3
PFC,2015-01-14 to 2025-01-11,66793.02,,4
POWERGRID,2015-01-14 to 2025-01-11,21390.66,,4
PNB,2015-01-14 to 2025-01-11,40857.28,-4870.29,4
RECLTD,2015-01-14 to 2025-01-11,48958.6,,4
RELIANCE,2015-01-14 to 2025-01-11,16111.29,-1495.14,2
SBILIFE,2015-01-14 to 2025-01-11,46494.21,,3
MOTHERSON,2015-01-14 to 2025-01-11,28846.42,,3
SHREECEM,2015-01-14 to 2025-01-11,61658.7,2638.51,5
SHRIRAMFIN,2015-01-14 to 2025-01-11,158306.56,,5
SIEMENS,2015-01-14 to 2025-01-11,59876.26,,4
SBIN,2015-01-14 to 2025-01-11,30109.41,,3
SUNPHARMA,2015-01-14 to 2025-01-11,4503.11,,1
TVSMOTOR,2015-01-14 to 2025-01-11,2331.36,,1
TCS,2015-01-14 to 2025-01-11,64799.77,,4
TATACONSUM,2015-01-14 to 2025-01-11,83922.92,1789.26,5
TATAMOTORS,2015-01-14 to 2025-01-11,91083.25,-1186.3,4
TATAPOWER,2015-01-14 to 2025-01-11,41526.63,-4731.98,5
TATASTEEL,2015-01-14 to 2025-01-11,52619.46,-8435.72,4
TECHM,2015-01-14 to 2025-01-11,75509.97,,3
TITAN,2015-01-14 to 2025-01-11,97723.5,3152.83,4
TORNTPHARM,2015-01-14 to 2025-01-11,94543.47,,5
TRENT,2015-01-14 to 2025-01-11,0,,0
ULTRACEMCO,2015-01-14 to 2025-01-11,64158.07,,4
UNIONBANK,2015-01-14 to 2025-01-11,20773.3,-15598.27,3
UNITDSPR,2015-01-14 to 2025-01-11,0,,0
VBL,2015-01-14 to 2025-01-11,0,,0
VEDL,2015-01-14 to 2025-01-11,38937.02,,3
WIPRO,2015-01-14 to 2025-01-11,41577.48,,4
ZOMATO,2015-01-14 to 2025-01-11,36170.21,,1
ZYDUSLIFE,2015-01-14 to 2025-01-11,34036.42,4958.46,4
