Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
ABB,2015-01-14 to 2025-01-11,60235.13,-1030.48,5
ADANIENSOL,2015-01-14 to 2025-01-11,-25708.03,-25708.03,1
ADANIENT,2015-01-14 to 2025-01-11,120097.89,-15159.1,4
ADANIGREEN,2015-01-14 to 2025-01-11,-39294.35,-39447.16,2
ADANIPORTS,2015-01-14 to 2025-01-11,-260.77,-6678.98,4
ADANIPOWER,2015-01-14 to 2025-01-11,327361.65,-7116.04,5
ATGL,2015-01-14 to 2025-01-11,116548.98,-20424.01,3
AMBUJACEM,2015-01-14 to 2025-01-11,67426.52,-728.16,5
APOLLOHOSP,2015-01-14 to 2025-01-11,31117.72,,2
ASIANPAINT,2015-01-14 to 2025-01-11,81028.84,1420.3,5
DMART,2015-01-14 to 2025-01-11,55112.12,929.55,3
AXISBANK,2015-01-14 to 2025-01-11,115330.9,-3186.19,6
BAJAJ-AUTO,2015-01-14 to 2025-01-11,73151.11,,5
BAJFINANCE,2015-01-14 to 2025-01-11,144785.45,,3
BAJAJFINSV,2015-01-14 to 2025-01-11,114836.37,,3
BAJAJHLDNG,2015-01-14 to 2025-01-11,28980.11,,2
BANKBARODA,2015-01-14 to 2025-01-11,19057.41,-7550.96,3
BEL,2015-01-14 to 2025-01-11,14671.93,,2
BHEL,2015-01-14 to 2025-01-11,-10707.07,-15761.07,2
BPCL,2015-01-14 to 2025-01-11,55809.99,,4
BHARTIARTL,2015-01-14 to 2025-01-11,47740.76,,4
BOSCHLTD,2015-01-14 to 2025-01-11,14800.73,,2
BRITANNIA,2015-01-14 to 2025-01-11,61892.97,,4
CANBK,2015-01-14 to 2025-01-11,3575.75,-1496.18,4
CHOLAFIN,2015-01-14 to 2025-01-11,125811.68,,3
CIPLA,2015-01-14 to 2025-01-11,17533.32,,2
COALINDIA,2015-01-14 to 2025-01-11,2464.31,-4681.84,2
DLF,2015-01-14 to 2025-01-11,108941.45,-1441.39,5
