Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2016-01-07,2016-05-16,4.33,160.1,208.83,30442.46,110.89,Completed
2016-12-27,2017-09-12,8.63,157.52,209.04,32702.41,48.99,Completed
2018-09-12,2020-02-17,17.43,229.43,249.28,8650.78,5.96,Completed
2020-04-08,2020-12-04,8.0,116.04,200.62,72895.05,129.95,Completed
2022-02-07,2022-09-06,7.03,243.76,276.95,13615.86,24.71,Completed
