Entry Date,Exit Date,Holding Period (Years),Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2022-06-21,2023-05-15,0,10,397.6,530.85,33513.57,37.94,Completed
2024-11-27,Still Holding,,,783.95,776.25,-982.21,,Holding
