Stock,Analysis Period,Total Profit/Loss,Unrealized P/L,Number of Times Entered Market
NESTLEIND,2020-01-12 to 2025-01-10,17328.42,-859.12,2
HINDUNILVR,2020-01-12 to 2025-01-10,30405.5,,2
M&M,2020-01-12 to 2025-01-10,15170.18,,1
KOTAKBANK,2020-01-12 to 2025-01-10,40309.82,,3
ASIANPAINT,2020-01-12 to 2025-01-10,44829.4,2707.31,3
BHARTIARTL,2020-01-12 to 2025-01-10,18560.3,,1
ITC,2020-01-12 to 2025-01-10,47771.28,,2
HCLTECH,2020-01-12 to 2025-01-10,6030.5,,1
TITAN,2020-01-12 to 2025-01-10,37937.48,4556.08,2
INDUSINDBK,2020-01-12 to 2025-01-10,-13657.11,-31522.91,2
ICICIBANK,2020-01-12 to 2025-01-10,21291.66,,1
BAJAJFINSV,2020-01-12 to 2025-01-10,82929.78,,3
POWERGRID,2020-01-12 to 2025-01-10,3790.7,,1
SUNPHARMA,2020-01-12 to 2025-01-10,0,,0
MARUTI,2020-01-12 to 2025-01-10,35054.47,6017.14,3
RELIANCE,2020-01-12 to 2025-01-10,17130.52,-475.91,2
INFY,2020-01-12 to 2025-01-10,33677.95,,2
BAJFINANCE,2020-01-12 to 2025-01-10,44973.0,,2
ULTRACEMCO,2020-01-12 to 2025-01-10,13173.35,,1
TECHM,2020-01-12 to 2025-01-10,2296.21,,1
AXISBANK,2020-01-12 to 2025-01-10,35850.42,-1227.96,2
SBIN,2020-01-12 to 2025-01-10,0,,0
NTPC,2020-01-12 to 2025-01-10,0,,0
HDFCBANK,2020-01-12 to 2025-01-10,17780.49,,2
TCS,2020-01-12 to 2025-01-10,3791.13,,1
ADANIPORTS,2020-01-12 to 2025-01-10,-4988.26,-4988.26,1
TATAMOTORS,2020-01-12 to 2025-01-10,33022.46,-491.11,2
LT,2020-01-12 to 2025-01-10,27367.96,,1
ZOMATO,2020-01-12 to 2025-01-10,36170.21,,1
TATASTEEL,2020-01-12 to 2025-01-10,11607.27,-6639.37,2
