Entry Date,Exit Date,Holding Period (Months),Buy Price,Sell Price,Profit/Loss,Effective Annual Gain (%),Status
2022-02-17,2023-01-16,11.1,832.95,924.25,10961.04,12.08,Completed
2024-12-27,Still Holding,0.47,1067.8,1174.3,9973.78,,Holding
